task,item_id,question,correct,intuitive,prompt,trigger_id,trigger,trigger_type,contrast,contrast_type,mean_logp_correct,mean_logp_intuitive,mean_logp_response,mean_logp_response_isDistractor,mean_logp_response_isSlow,mean_logp_response_isFast,mean_logp_dist,sum_logp_correct,sum_logp_intuitive,sum_logp_response,sum_logp_response_isDistractor,sum_logp_response_isSlow,sum_logp_response_isFast,sum_logp_dist
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>[INST] Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets? [/INST]",0,,baseline,,,-8.815668106079102,-11.102896690368652,correct,False,True,False,"{'correct': 0.9078137780349581, 'intuitive': 0.09218622196504195}",-26.447004318237305,-33.30868911743164,correct,False,True,False,"{'correct': 0.998953947161219, 'intuitive': 0.0010460528387810262}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>[INST] <<SYS>>
You tend to think shallowly, so you say what comes to mind first.
<</SYS>>

Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets? [/INST]",1,"You tend to think shallowly, so you say what comes to mind first.",fast,shallow/deep,explicit,-5.870565891265869,-7.295802593231201,correct,False,True,False,"{'correct': 0.8061580536209646, 'intuitive': 0.1938419463790354}",-17.611698150634766,-21.887407302856445,correct,False,True,False,"{'correct': 0.9862884342871276, 'intuitive': 0.013711565712872333}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>[INST] <<SYS>>
You tend to think deeply, so you say what is most correct.
<</SYS>>

Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets? [/INST]",2,"You tend to think deeply, so you say what is most correct.",slow,shallow/deep,explicit,-8.56103801727295,-11.136221885681152,correct,False,True,False,"{'correct': 0.9292472778527693, 'intuitive': 0.0707527221472307}",-25.68311309814453,-33.40866470336914,correct,False,True,False,"{'correct': 0.9995587914585247, 'intuitive': 0.00044120854147542256}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>[INST] <<SYS>>
You tend to think quickly, so you say what comes to mind first.
<</SYS>>

Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets? [/INST]",3,"You tend to think quickly, so you say what comes to mind first.",fast,quick/careful,explicit,-6.277467727661133,-8.792038917541504,correct,False,True,False,"{'correct': 0.9251570223760142, 'intuitive': 0.07484297762398581}",-18.8324031829834,-26.376117706298828,correct,False,True,False,"{'correct': 0.9994708527506141, 'intuitive': 0.0005291472493859229}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>[INST] <<SYS>>
You tend to think carefully, so you say what is most correct.
<</SYS>>

Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets? [/INST]",4,"You tend to think carefully, so you say what is most correct.",slow,quick/careful,explicit,-8.584824562072754,-11.236781120300293,correct,False,True,False,"{'correct': 0.9341314795649632, 'intuitive': 0.06586852043503666}",-25.754472732543945,-33.71034240722656,correct,False,True,False,"{'correct': 0.9996495246602997, 'intuitive': 0.00035047533970034397}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>[INST] <<SYS>>
Your last meal was one day ago, so you are starving.
<</SYS>>

Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets? [/INST]",5,"Your last meal was one day ago, so you are starving.",fast,hungry/fed,resources,-7.967184543609619,-8.744524955749512,correct,False,True,False,"{'correct': 0.6851066289948646, 'intuitive': 0.31489337100513537}",-23.901554107666016,-26.23357391357422,correct,False,True,False,"{'correct': 0.9114944147126728, 'intuitive': 0.08850558528732724}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>[INST] <<SYS>>
Your last meal was one hour ago, so you are well-fed.
<</SYS>>

Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets? [/INST]",6,"Your last meal was one hour ago, so you are well-fed.",slow,hungry/fed,resources,-8.691861152648926,-10.737820625305176,correct,False,True,False,"{'correct': 0.8855387088043639, 'intuitive': 0.11446129119563611}",-26.07558250427246,-32.213462829589844,correct,False,True,False,"{'correct': 0.9978451571750767, 'intuitive': 0.0021548428249232535}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>[INST] <<SYS>>
You didn't have coffee this morning, so you feel very groggy.
<</SYS>>

Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets? [/INST]",7,"You didn't have coffee this morning, so you feel very groggy.",fast,groggy/alert,resources,-7.801614284515381,-9.13616943359375,correct,False,True,False,"{'correct': 0.7915931116549695, 'intuitive': 0.20840688834503043}",-23.404842376708984,-27.40850830078125,correct,False,True,False,"{'correct': 0.9820784258921781, 'intuitive': 0.017921574107821837}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>[INST] <<SYS>>
You just had your morning coffee, so you feel very alert.
<</SYS>>

Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets? [/INST]",8,"You just had your morning coffee, so you feel very alert.",slow,groggy/alert,resources,-7.776825428009033,-9.550055503845215,correct,False,True,False,"{'correct': 0.854858902787799, 'intuitive': 0.14514109721220111}",-23.330476760864258,-28.650165557861328,correct,False,True,False,"{'correct': 0.9951295606753863, 'intuitive': 0.004870439324613819}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>[INST] <<SYS>>
You slept two hours last night, so you are very tired.
<</SYS>>

Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets? [/INST]",9,"You slept two hours last night, so you are very tired.",fast,tired/rested,resources,-7.425973892211914,-8.084380149841309,correct,False,True,False,"{'correct': 0.6589022855172565, 'intuitive': 0.3410977144827435}",-22.277921676635742,-24.253141403198242,correct,False,True,False,"{'correct': 0.8781706590591495, 'intuitive': 0.12182934094085064}"
