task,item_id,question,t,correct,intuitive,prompt,trigger_id,trigger,trigger_type,contrast,contrast_type,mean_logp_correct,mean_logp_intuitive,mean_logp_t,mean_logp_response,mean_logp_response_isDistractor,mean_logp_response_isSlow,mean_logp_response_isFast,mean_logp_dist,sum_logp_correct,sum_logp_intuitive,sum_logp_t,sum_logp_response,sum_logp_response_isDistractor,sum_logp_response_isSlow,sum_logp_response_isFast,sum_logp_dist
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>[INST] Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?[/INST]",0,,baseline,,,-4.825568675994873,-7.376941204071045,-7.779270172119141,correct,False,True,False,"{'correct': 0.8848610806294301, 'intuitive': 0.06899666247986164, 't': 0.04614225689070815}",-14.476705551147461,-22.130823135375977,-23.337810516357422,correct,False,True,False,"{'correct': 0.9993844927798459, 'intuitive': 0.0004737962026449495, 't': 0.00014171101750909306}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>[INST] You tend to think shallowly, so you say what comes to mind first.

Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?[/INST]",1,"You tend to think shallowly, so you say what comes to mind first.",fast,shallow/deep,explicit,-4.101466655731201,-6.14802885055542,-7.226569652557373,correct,False,True,False,"{'correct': 0.852434516052627, 'intuitive': 0.11011598257569578, 't': 0.03744950137167724}",-12.304400444030762,-18.4440860748291,-21.67970848083496,correct,False,True,False,"{'correct': 0.9977646148632935, 'intuitive': 0.002150782567601627, 't': 8.460256910482312e-05}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>[INST] You tend to think deeply, so you say what is most correct.

Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?[/INST]",2,"You tend to think deeply, so you say what is most correct.",slow,shallow/deep,explicit,-4.780416965484619,-7.404551982879639,-7.899723052978516,correct,False,True,False,"{'correct': 0.8955034647060085, 'intuitive': 0.06492618914913488, 't': 0.03957034614485666}",-14.341251373291016,-22.213655471801758,-23.699169158935547,correct,False,True,False,"{'correct': 0.9995328217760542, 'intuitive': 0.000380938967523499, 't': 8.62392564223805e-05}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>[INST] You tend to think quickly, so you say what comes to mind first.

Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?[/INST]",3,"You tend to think quickly, so you say what comes to mind first.",fast,quick/careful,explicit,-4.335206508636475,-6.82534646987915,-7.502330303192139,correct,False,True,False,"{'correct': 0.8888707590929819, 'intuitive': 0.07368593102981681, 't': 0.03744330987720132}",-13.005619049072266,-20.47603988647461,-22.506990432739258,correct,False,True,False,"{'correct': 0.9993559772826908, 'intuitive': 0.0005693216078590103, 't': 7.470110945035953e-05}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>[INST] You tend to think carefully, so you say what is most correct.

Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?[/INST]",4,"You tend to think carefully, so you say what is most correct.",slow,quick/careful,explicit,-4.721540927886963,-7.24599027633667,-7.867415904998779,correct,False,True,False,"{'correct': 0.8903675582118807, 'intuitive': 0.07132058645114515, 't': 0.038311855336974183}",-14.16462230682373,-21.73797035217285,-23.60224723815918,correct,False,True,False,"{'correct': 0.9994067140188918, 'intuitive': 0.0005136638435204429, 't': 7.962213758777148e-05}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>[INST] Your last meal was one day ago, so you are starving.

Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?[/INST]",5,"Your last meal was one day ago, so you are starving.",fast,hungry/fed,resources,-4.668581485748291,-6.957996368408203,-7.809525012969971,correct,False,True,False,"{'correct': 0.8736923038473882, 'intuitive': 0.08852751219076452, 't': 0.037780183961847305}",-14.005744934082031,-20.87398910522461,-23.42857551574707,correct,False,True,False,"{'correct': 0.9988800967119427, 'intuitive': 0.001039137016637876, 't': 8.076627141951754e-05}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>[INST] Your last meal was one hour ago, so you are well-fed.

Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?[/INST]",6,"Your last meal was one hour ago, so you are well-fed.",slow,hungry/fed,resources,-4.711896896362305,-6.996540069580078,-7.913206100463867,correct,False,True,False,"{'correct': 0.8752587702504363, 'intuitive': 0.08911043175883089, 't': 0.03563079799073272}",-14.135690689086914,-20.989620208740234,-23.7396183013916,correct,False,True,False,"{'correct': 0.9988784952293167, 'intuitive': 0.0010541171850502226, 't': 6.738758563299265e-05}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>[INST] You didn't have coffee this morning, so you feel very groggy.

Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?[/INST]",7,"You didn't have coffee this morning, so you feel very groggy.",fast,groggy/alert,resources,-4.861875534057617,-7.41736364364624,-8.1392240524292,correct,False,True,False,"{'correct': 0.8965534415198941, 'intuitive': 0.06962124694608153, 't': 0.03382531153402427}",-14.585626602172852,-22.252090454101562,-24.41767120361328,correct,False,True,False,"{'correct': 0.9994782986963209, 'intuitive': 0.0004680264767635206, 't': 5.367482691567915e-05}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>[INST] You just had your morning coffee, so you feel very alert.

Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?[/INST]",8,"You just had your morning coffee, so you feel very alert.",slow,groggy/alert,resources,-4.87284517288208,-7.566440105438232,-8.097465515136719,correct,False,True,False,"{'correct': 0.9030093642214024, 'intuitive': 0.06107716049223052, 't': 0.03591347528636715}",-14.618535995483398,-22.69931983947754,-24.292396545410156,correct,False,True,False,"{'correct': 0.9996278036528077, 'intuitive': 0.0003093132286262247, 't': 6.288311856610505e-05}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>[INST] You slept two hours last night, so you are very tired.

Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?[/INST]",9,"You slept two hours last night, so you are very tired.",fast,tired/rested,resources,-4.7240753173828125,-7.0376877784729,-7.931822299957275,correct,False,True,False,"{'correct': 0.8776926814064357, 'intuitive': 0.08680672104790631, 't': 0.03550059754565793}",-14.172225952148438,-21.11306381225586,-23.795467376708984,correct,False,True,False,"{'correct': 0.9989674358527153, 'intuitive': 0.0009664596993362258, 't': 6.610444794839537e-05}"
