task,item_id,question,total_cost,more,correct,intuitive,total_cost_money_fmt,more_money_fmt,correct_money_fmt,intuitive_money_fmt,prompt,trigger_id,trigger,trigger_type,contrast,contrast_type,mean_logp_correct,mean_logp_intuitive,mean_logp_total_cost,mean_logp_more,mean_logp_correct_money_fmt,mean_logp_intuitive_money_fmt,mean_logp_total_cost_money_fmt,mean_logp_more_money_fmt,mean_logp_response,mean_logp_response_isDistractor,mean_logp_response_isSlow,mean_logp_response_isFast,mean_logp_dist,sum_logp_correct,sum_logp_intuitive,sum_logp_total_cost,sum_logp_more,sum_logp_correct_money_fmt,sum_logp_intuitive_money_fmt,sum_logp_total_cost_money_fmt,sum_logp_more_money_fmt,sum_logp_response,sum_logp_response_isDistractor,sum_logp_response_isSlow,sum_logp_response_isFast,sum_logp_dist
crt1,1,A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,140.0,100,$20.0,$40.0,$140.00,$100.00,$20.00,$40.00,<s>[INST] Your task is to answer the following question. A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost? [/INST],0,,baseline,,,-8.541328430175781,-9.236172676086426,-6.5415825843811035,-6.188972473144531,-7.117865085601807,-7.696866512298584,-6.104358673095703,-6.251358509063721,total_cost_money_fmt,True,False,False,"{'correct_money_fmt': 0.14938104458270646, 'intuitive_money_fmt': 0.08372176344793783, 'total_cost_money_fmt': 0.41158139455245846, 'more_money_fmt': 0.3553157974168972}",-42.706642150878906,-46.18086242675781,-39.24949645996094,-24.755889892578125,-42.707191467285156,-46.18119812011719,-42.73051071166992,-43.7595100402832,correct_money_fmt,False,True,False,"{'correct_money_fmt': 0.4242554501686078, 'intuitive_money_fmt': 0.013148781566571278, 'total_cost_money_fmt': 0.41447659453735197, 'more_money_fmt': 0.14811917372746902}"
crt1,1,A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,140.0,100,$20.0,$40.0,$140.00,$100.00,$20.00,$40.00,"<s>[INST] <<SYS>>
You tend to think shallowly, so you say what comes to mind first.
<</SYS>>

Your task is to answer the following question. A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost? [/INST]",1,"You tend to think shallowly, so you say what comes to mind first.",fast,shallow/deep,explicit,-7.216508388519287,-8.0963716506958,-6.399017333984375,-5.012167453765869,-6.013758182525635,-6.746978759765625,-5.858837604522705,-5.6508989334106445,more_money_fmt,True,False,False,"{'correct_money_fmt': 0.24477657716573287, 'intuitive_money_fmt': 0.11758074479332413, 'total_cost_money_fmt': 0.2857926198976179, 'more_money_fmt': 0.35185005814332504}",-36.082542419433594,-40.48185729980469,-38.39410400390625,-20.048669815063477,-36.082550048828125,-40.48187255859375,-41.011863708496094,-39.55629348754883,correct_money_fmt,False,True,False,"{'correct_money_fmt': 0.9519114433279859, 'intuitive_money_fmt': 0.011694860818031024, 'total_cost_money_fmt': 0.0068837141184623415, 'more_money_fmt': 0.029509981735520805}"
crt1,1,A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,140.0,100,$20.0,$40.0,$140.00,$100.00,$20.00,$40.00,"<s>[INST] <<SYS>>
You tend to think deeply, so you say what is most correct.
<</SYS>>

Your task is to answer the following question. A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost? [/INST]",2,"You tend to think deeply, so you say what is most correct.",slow,shallow/deep,explicit,-8.946621894836426,-9.30407428741455,-6.528592586517334,-5.54262113571167,-7.455544948577881,-7.753443241119385,-6.068892478942871,-5.840559959411621,more_money_fmt,True,False,False,"{'correct_money_fmt': 0.09283652931556192, 'intuitive_money_fmt': 0.0689196893784676, 'total_cost_money_fmt': 0.3714791232827686, 'more_money_fmt': 0.46676465802320183}",-44.73310852050781,-46.52037048339844,-39.17155456542969,-22.17048454284668,-44.73326873779297,-46.520660400390625,-42.48224639892578,-40.88391876220703,more_money_fmt,True,False,False,"{'correct_money_fmt': 0.017352867528067095, 'intuitive_money_fmt': 0.0029048045443123716, 'total_cost_money_fmt': 0.16480782645891773, 'more_money_fmt': 0.8149345014687028}"
crt1,1,A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,140.0,100,$20.0,$40.0,$140.00,$100.00,$20.00,$40.00,"<s>[INST] <<SYS>>
You tend to think quickly, so you say what comes to mind first.
<</SYS>>

Your task is to answer the following question. A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost? [/INST]",3,"You tend to think quickly, so you say what comes to mind first.",fast,quick/careful,explicit,-7.042248725891113,-7.740128993988037,-6.504940032958984,-4.648477554321289,-5.8685431480407715,-6.4501166343688965,-5.396395206451416,-5.399498462677002,total_cost_money_fmt,True,False,False,"{'correct_money_fmt': 0.21004347788281158, 'intuitive_money_fmt': 0.11741809896928979, 'total_cost_money_fmt': 0.3367909759173697, 'more_money_fmt': 0.3357474472305289}",-35.21124267578125,-38.700645446777344,-39.029640197753906,-18.593910217285156,-35.21125793457031,-38.70069885253906,-37.77476501464844,-37.79648971557617,correct_money_fmt,False,True,False,"{'correct_money_fmt': 0.8453581035718398, 'intuitive_money_fmt': 0.025798578946653713, 'total_cost_money_fmt': 0.06512140185462538, 'more_money_fmt': 0.06372191562688109}"
crt1,1,A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,140.0,100,$20.0,$40.0,$140.00,$100.00,$20.00,$40.00,"<s>[INST] <<SYS>>
You tend to think carefully, so you say what is most correct.
<</SYS>>

Your task is to answer the following question. A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost? [/INST]",4,"You tend to think carefully, so you say what is most correct.",slow,quick/careful,explicit,-8.95720100402832,-9.380632400512695,-6.622530460357666,-5.59498405456543,-7.464364528656006,-7.817262172698975,-6.109682559967041,-5.945796489715576,more_money_fmt,True,False,False,"{'correct_money_fmt': 0.09858180254846273, 'intuitive_money_fmt': 0.06926841582472085, 'total_cost_money_fmt': 0.3820565578830121, 'more_money_fmt': 0.45009322374380434}",-44.78600311279297,-46.903160095214844,-39.73518371582031,-22.37993621826172,-44.78618621826172,-46.90357208251953,-42.76777648925781,-41.620574951171875,more_money_fmt,True,False,False,"{'correct_money_fmt': 0.03091197665799462, 'intuitive_money_fmt': 0.003720127115968637, 'total_cost_money_fmt': 0.23265424674615404, 'more_money_fmt': 0.7327136494798827}"
crt1,1,A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,140.0,100,$20.0,$40.0,$140.00,$100.00,$20.00,$40.00,"<s>[INST] <<SYS>>
Your last meal was one day ago, so you are starving.
<</SYS>>

Your task is to answer the following question. A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost? [/INST]",5,"Your last meal was one day ago, so you are starving.",fast,hungry/fed,resources,-8.255395889282227,-8.078709602355957,-6.004062652587891,-5.573507308959961,-6.879515171051025,-6.732275485992432,-5.194283962249756,-4.845654487609863,more_money_fmt,True,False,False,"{'correct_money_fmt': 0.06580736182419451, 'intuitive_money_fmt': 0.07624649132037041, 'total_cost_money_fmt': 0.3549450265519373, 'more_money_fmt': 0.5030011203034979}",-41.2769775390625,-40.39354705810547,-36.024375915527344,-22.294029235839844,-41.27709197998047,-40.393653869628906,-36.359989166259766,-33.91958236694336,more_money_fmt,True,False,False,"{'correct_money_fmt': 0.0005854964038149819, 'intuitive_money_fmt': 0.0014164346045726153, 'total_cost_money_fmt': 0.07998247720000662, 'more_money_fmt': 0.9180155917916057}"
crt1,1,A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,140.0,100,$20.0,$40.0,$140.00,$100.00,$20.00,$40.00,"<s>[INST] <<SYS>>
Your last meal was one hour ago, so you are well-fed.
<</SYS>>

Your task is to answer the following question. A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost? [/INST]",6,"Your last meal was one hour ago, so you are well-fed.",slow,hungry/fed,resources,-8.856595039367676,-8.702258110046387,-7.079131603240967,-5.253117561340332,-7.380517482757568,-7.251939296722412,-5.825140953063965,-5.62380313873291,more_money_fmt,True,False,False,"{'correct_money_fmt': 0.07894247923544134, 'intuitive_money_fmt': 0.08977420300305924, 'total_cost_money_fmt': 0.3739402427911708, 'more_money_fmt': 0.45734307497032856}",-44.28297424316406,-43.51129150390625,-42.474788665771484,-21.012470245361328,-44.283103942871094,-43.511634826660156,-40.77598571777344,-39.36662292480469,more_money_fmt,True,False,False,"{'correct_money_fmt': 0.005779133923162517, 'intuitive_money_fmt': 0.012499928788658965, 'total_cost_money_fmt': 0.19274576799431137, 'more_money_fmt': 0.7889751692938671}"
crt1,1,A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,140.0,100,$20.0,$40.0,$140.00,$100.00,$20.00,$40.00,"<s>[INST] <<SYS>>
You didn't have coffee this morning, so you feel very groggy.
<</SYS>>

Your task is to answer the following question. A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost? [/INST]",7,"You didn't have coffee this morning, so you feel very groggy.",fast,groggy/alert,resources,-9.180005073547363,-8.854702949523926,-6.339420318603516,-5.805062770843506,-7.650022983551025,-7.3789381980896,-5.9378485679626465,-5.5789794921875,more_money_fmt,True,False,False,"{'correct_money_fmt': 0.06334935654386437, 'intuitive_money_fmt': 0.08307547525478806, 'total_cost_money_fmt': 0.3510185830206337, 'more_money_fmt': 0.5025565851807138}",-45.9000244140625,-44.27351379394531,-38.036521911621094,-23.220251083374023,-45.90013885498047,-44.27362823486328,-41.56494140625,-39.0528564453125,more_money_fmt,True,False,False,"{'correct_money_fmt': 0.000976805333089672, 'intuitive_money_fmt': 0.004968126084677995, 'total_cost_money_fmt': 0.07456934906119439, 'more_money_fmt': 0.9194857195210379}"
crt1,1,A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,140.0,100,$20.0,$40.0,$140.00,$100.00,$20.00,$40.00,"<s>[INST] <<SYS>>
You just had your morning coffee, so you feel very alert.
<</SYS>>

Your task is to answer the following question. A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost? [/INST]",8,"You just had your morning coffee, so you feel very alert.",slow,groggy/alert,resources,-9.039432525634766,-8.953903198242188,-6.759993076324463,-5.40761661529541,-7.532872676849365,-7.461599826812744,-6.118398189544678,-5.7812628746032715,more_money_fmt,True,False,False,"{'correct_money_fmt': 0.08366750224620342, 'intuitive_money_fmt': 0.08984837141408017, 'total_cost_money_fmt': 0.3442351931331775, 'more_money_fmt': 0.48224893320653894}",-45.19716262817383,-44.76951599121094,-40.559959411621094,-21.63046646118164,-45.197235107421875,-44.76959991455078,-42.82878875732422,-40.468841552734375,more_money_fmt,True,False,False,"{'correct_money_fmt': 0.00791589413014272, 'intuitive_money_fmt': 0.01214002501728527, 'total_cost_money_fmt': 0.08454796475745033, 'more_money_fmt': 0.8953961160951216}"
crt1,1,A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,140.0,100,$20.0,$40.0,$140.00,$100.00,$20.00,$40.00,"<s>[INST] <<SYS>>
You slept two hours last night, so you are very tired.
<</SYS>>

Your task is to answer the following question. A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost? [/INST]",9,"You slept two hours last night, so you are very tired.",fast,tired/rested,resources,-9.134359359741211,-9.071157455444336,-6.103542804718018,-5.5186967849731445,-7.611990451812744,-7.5593414306640625,-6.069972515106201,-5.771994590759277,more_money_fmt,True,False,False,"{'correct_money_fmt': 0.07677788138468065, 'intuitive_money_fmt': 0.08092846505654391, 'total_cost_money_fmt': 0.3588607867264965, 'more_money_fmt': 0.483432866832279}",-45.67179489135742,-45.35578918457031,-36.62125778198242,-22.074787139892578,-45.67194366455078,-45.356048583984375,-42.48980712890625,-40.403961181640625,more_money_fmt,True,False,False,"{'correct_money_fmt': 0.00453527508137597, 'intuitive_money_fmt': 0.006220067878966645, 'total_cost_money_fmt': 0.10929189894098264, 'more_money_fmt': 0.8799527580986747}"
