task,item_id,question,t,correct,intuitive,prompt,trigger_id,trigger,trigger_type,contrast,contrast_type,mean_logp_correct,mean_logp_intuitive,mean_logp_t,mean_logp_response,mean_logp_response_isDistractor,mean_logp_response_isSlow,mean_logp_response_isFast,mean_logp_dist,sum_logp_correct,sum_logp_intuitive,sum_logp_t,sum_logp_response,sum_logp_response_isDistractor,sum_logp_response_isSlow,sum_logp_response_isFast,sum_logp_dist
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>GPT4 Correct User: Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?<|end_of_turn|>GPT4 Correct Assistant:",0,,baseline,,,-5.6571197509765625,-5.167389869689941,-5.459373474121094,intuitive,False,False,True,"{'correct': 0.25970460840730036, 'intuitive': 0.4238055514274304, 't': 0.3164898401652692}",-22.62847900390625,-20.669559478759766,-21.837493896484375,intuitive,False,False,True,"{'correct': 0.09711350838629751, 'intuitive': 0.6886960375832112, 't': 0.21419045403049133}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>GPT4 Correct System: You tend to think shallowly, so you say what comes to mind first.<|end_of_turn|>GPT4 Correct User: Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?<|end_of_turn|>GPT4 Correct Assistant:",1,"You tend to think shallowly, so you say what comes to mind first.",fast,shallow/deep,explicit,-5.293238639831543,-4.992232322692871,-4.940815448760986,t,True,False,False,"{'correct': 0.2649899328047197, 'intuitive': 0.3580591345213295, 't': 0.37695093267395086}",-26.4661922454834,-24.96116065979004,-24.704076766967773,t,True,False,False,"{'correct': 0.08826871372683631, 'intuitive': 0.39758840528075107, 't': 0.5141428809924126}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>GPT4 Correct System: You tend to think deeply, so you say what is most correct.<|end_of_turn|>GPT4 Correct User: Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?<|end_of_turn|>GPT4 Correct Assistant:",2,"You tend to think deeply, so you say what is most correct.",slow,shallow/deep,explicit,-5.650532245635986,-5.189536094665527,-5.440897464752197,intuitive,False,False,True,"{'correct': 0.2618568570504925, 'intuitive': 0.4152140449764177, 't': 0.3229290979730898}",-28.252660751342773,-25.94767951965332,-27.204486846923828,intuitive,False,False,True,"{'correct': 0.0720646570578296, 'intuitive': 0.7223754101542998, 't': 0.20555993278787055}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>GPT4 Correct System: You tend to think quickly, so you say what comes to mind first.<|end_of_turn|>GPT4 Correct User: Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?<|end_of_turn|>GPT4 Correct Assistant:",3,"You tend to think quickly, so you say what comes to mind first.",fast,quick/careful,explicit,-5.956210136413574,-5.543642520904541,-5.65830135345459,intuitive,False,False,True,"{'correct': 0.2592197603036641, 'intuitive': 0.39160113648924627, 't': 0.34917910320708956}",-29.781049728393555,-27.718212127685547,-28.291507720947266,intuitive,False,False,True,"{'correct': 0.07516915511312416, 'intuitive': 0.5914508440948227, 't': 0.33338000079205304}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>GPT4 Correct System: You tend to think carefully, so you say what is most correct.<|end_of_turn|>GPT4 Correct User: Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?<|end_of_turn|>GPT4 Correct Assistant:",4,"You tend to think carefully, so you say what is most correct.",slow,quick/careful,explicit,-5.723794937133789,-5.254812240600586,-5.52352237701416,intuitive,False,False,True,"{'correct': 0.261773042977588, 'intuitive': 0.41840948270693035, 't': 0.3198174743154816}",-28.618974685668945,-26.27406120300293,-27.617610931396484,intuitive,False,False,True,"{'correct': 0.07064960137087492, 'intuitive': 0.7370427894592214, 't': 0.1923076091699037}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>GPT4 Correct System: Your last meal was one day ago, so you are starving.<|end_of_turn|>GPT4 Correct User: Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?<|end_of_turn|>GPT4 Correct Assistant:",5,"Your last meal was one day ago, so you are starving.",fast,hungry/fed,resources,-6.361064910888672,-6.028382301330566,-6.045443058013916,intuitive,False,False,True,"{'correct': 0.2655466801379875, 'intuitive': 0.37035916629633525, 't': 0.36409415356567715}",-31.80532455444336,-30.141910552978516,-30.227214813232422,intuitive,False,False,True,"{'correct': 0.0899031225313309, 'intuitive': 0.47444546300089685, 't': 0.43565141446777217}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>GPT4 Correct System: Your last meal was one hour ago, so you are well-fed.<|end_of_turn|>GPT4 Correct User: Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?<|end_of_turn|>GPT4 Correct Assistant:",6,"Your last meal was one hour ago, so you are well-fed.",slow,hungry/fed,resources,-5.929471015930176,-5.616330623626709,-5.505465507507324,t,True,False,False,"{'correct': 0.25668777241959756, 'intuitive': 0.3510753403513506, 't': 0.39223688722905176}",-29.647356033325195,-28.081653594970703,-27.527328491210938,t,True,False,False,"{'correct': 0.07083455990077123, 'intuitive': 0.339016728966655, 't': 0.5901487111325737}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>GPT4 Correct System: You didn't have coffee this morning, so you feel very groggy.<|end_of_turn|>GPT4 Correct User: Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?<|end_of_turn|>GPT4 Correct Assistant:",7,"You didn't have coffee this morning, so you feel very groggy.",fast,groggy/alert,resources,-6.026847839355469,-5.729460716247559,-5.745955467224121,intuitive,False,False,True,"{'correct': 0.27243150177146, 'intuitive': 0.36678444639007096, 't': 0.36078405183846896}",-30.134239196777344,-28.647302627563477,-28.729778289794922,intuitive,False,False,True,"{'correct': 0.10529803007163685, 'intuitive': 0.4657883192597531, 't': 0.42891365066861}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>GPT4 Correct System: You just had your morning coffee, so you feel very alert.<|end_of_turn|>GPT4 Correct User: Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?<|end_of_turn|>GPT4 Correct Assistant:",8,"You just had your morning coffee, so you feel very alert.",slow,groggy/alert,resources,-6.687861442565918,-6.380418300628662,-6.34022331237793,t,True,False,False,"{'correct': 0.26485412276503173, 'intuitive': 0.36018663808128465, 't': 0.3749592391536837}",-33.439308166503906,-31.90209197998047,-31.70111656188965,t,True,False,False,"{'correct': 0.08819374451786767, 'intuitive': 0.4102440486354702, 't': 0.5015622068466621}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>GPT4 Correct System: You slept two hours last night, so you are very tired.<|end_of_turn|>GPT4 Correct User: Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?<|end_of_turn|>GPT4 Correct Assistant:",9,"You slept two hours last night, so you are very tired.",fast,tired/rested,resources,-6.406213283538818,-6.177830219268799,-6.000612735748291,t,True,False,False,"{'correct': 0.2661861295571304, 'intuitive': 0.3344805941975834, 't': 0.3993332762452862}",-32.03106689453125,-30.889150619506836,-30.003063201904297,t,True,False,False,"{'correct': 0.08523937583348155, 'intuitive': 0.26703500635974786, 't': 0.6477256178067706}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>GPT4 Correct System: You slept nine hours last night, so you are very well-rested.<|end_of_turn|>GPT4 Correct User: Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?<|end_of_turn|>GPT4 Correct Assistant:",10,"You slept nine hours last night, so you are very well-rested.",slow,tired/rested,resources,-6.2267560958862305,-5.979571342468262,-5.803852081298828,t,True,False,False,"{'correct': 0.26268758510124535, 'intuitive': 0.33634929557467685, 't': 0.4009631193240778}",-31.133779525756836,-29.897857666015625,-29.01926040649414,t,True,False,False,"{'correct': 0.0785721855698851, 'intuitive': 0.2704100804897955, 't': 0.6510177339403195}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>GPT4 Correct System: You are in a noisy environment, so you feel very distracted.<|end_of_turn|>GPT4 Correct User: Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?<|end_of_turn|>GPT4 Correct Assistant:",11,"You are in a noisy environment, so you feel very distracted.",fast,distracted/focused,physical_context,-6.065328121185303,-5.77605676651001,-5.738595008850098,t,True,False,False,"{'correct': 0.26868102437638686, 'intuitive': 0.35881116513564654, 't': 0.37250781048796666}",-30.326641082763672,-28.88028335571289,-28.692974090576172,t,True,False,False,"{'correct': 0.09642978111794626, 'intuitive': 0.4095966167142305, 't': 0.4939736021678232}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>GPT4 Correct System: You are in a quiet environment, so you feel very focused.<|end_of_turn|>GPT4 Correct User: Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?<|end_of_turn|>GPT4 Correct Assistant:",12,"You are in a quiet environment, so you feel very focused.",slow,distracted/focused,physical_context,-6.438656806945801,-6.122361183166504,-6.1612653732299805,intuitive,False,False,True,"{'correct': 0.27087654759461344, 'intuitive': 0.3716523212457074, 't': 0.35747113115967916}",-32.19328308105469,-30.611804962158203,-30.80632781982422,intuitive,False,False,True,"{'correct': 0.10137071664836061, 'intuitive': 0.4928783445120969, 't': 0.4057509388395425}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>GPT4 Correct System: You are in a dark room, so you can't see very well.<|end_of_turn|>GPT4 Correct User: Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?<|end_of_turn|>GPT4 Correct Assistant:",13,"You are in a dark room, so you can't see very well.",fast,dark/lit,physical_context,-6.260486602783203,-5.9818854331970215,-6.002310752868652,intuitive,False,False,True,"{'correct': 0.2765603957885968, 'intuitive': 0.36541379497550414, 't': 0.35802580923589905}",-31.302433013916016,-29.909427642822266,-30.011554718017578,intuitive,False,False,True,"{'correct': 0.11543461274495315, 'intuitive': 0.46484760343715903, 't': 0.41971778381788777}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>GPT4 Correct System: You are in a well-lit room, so you can see things clearly.<|end_of_turn|>GPT4 Correct User: Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?<|end_of_turn|>GPT4 Correct Assistant:",14,"You are in a well-lit room, so you can see things clearly.",slow,dark/lit,physical_context,-6.094212532043457,-5.839129447937012,-5.773303031921387,t,True,False,False,"{'correct': 0.27255756791955155, 'intuitive': 0.35175430485670367, 't': 0.3756881272237447}",-30.47106170654297,-29.195648193359375,-28.86651611328125,t,True,False,False,"{'correct': 0.10464870804874019, 'intuitive': 0.374661374449203, 't': 0.5206899175020567}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>GPT4 Correct System: You are in a room that is sweltering, so you feel very uncomfortable.<|end_of_turn|>GPT4 Correct User: Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?<|end_of_turn|>GPT4 Correct Assistant:",15,"You are in a room that is sweltering, so you feel very uncomfortable.",fast,uncomfortable/comfortable,physical_context,-5.672651767730713,-5.396245002746582,-5.379062652587891,t,True,False,False,"{'correct': 0.2732526586700749, 'intuitive': 0.3602519406438615, 't': 0.3664954006860635}",-28.363258361816406,-26.981224060058594,-26.895313262939453,t,True,False,False,"{'correct': 0.10725812427197494, 'intuitive': 0.4272086807232676, 't': 0.4655331950047574}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>GPT4 Correct System: You are in a room with a pleasant temperature, so you feel very comfortable.<|end_of_turn|>GPT4 Correct User: Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?<|end_of_turn|>GPT4 Correct Assistant:",16,"You are in a room with a pleasant temperature, so you feel very comfortable.",slow,uncomfortable/comfortable,physical_context,-6.078327178955078,-5.835300445556641,-5.777368068695068,t,True,False,False,"{'correct': 0.2757664595122182, 'intuitive': 0.3516305602624836, 't': 0.37260298022529825}",-30.39163589477539,-29.176502227783203,-28.8868408203125,t,True,False,False,"{'correct': 0.11268906731925371, 'intuitive': 0.37984606418773503, 't': 0.5074648684930114}"
