task,item_id,question,t,correct,intuitive,prompt,trigger_id,trigger,trigger_type,contrast,contrast_type,mean_logp_correct,mean_logp_intuitive,mean_logp_t,mean_logp_response,mean_logp_response_isDistractor,mean_logp_response_isSlow,mean_logp_response_isFast,mean_logp_dist,sum_logp_correct,sum_logp_intuitive,sum_logp_t,sum_logp_response,sum_logp_response_isDistractor,sum_logp_response_isSlow,sum_logp_response_isFast,sum_logp_dist
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>[INST] Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected? [/INST]",0,,baseline,,,-7.185100555419922,-7.440479278564453,-7.675790309906006,correct,False,True,False,"{'correct': 0.4189662585018079, 'intuitive': 0.3245409313624339, 't': 0.2564928101357582}",-21.555301666259766,-22.32143783569336,-23.02737045288086,correct,False,True,False,"{'correct': 0.5902296303469167, 'intuitive': 0.27434199793592684, 't': 0.1354283717171565}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>[INST] <<SYS>>
You tend to think shallowly, so you say what comes to mind first.
<</SYS>>

Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected? [/INST]",1,"You tend to think shallowly, so you say what comes to mind first.",fast,shallow/deep,explicit,-7.181355953216553,-7.265010833740234,-7.271438121795654,correct,False,True,False,"{'correct': 0.3529073742026239, 'intuitive': 0.3245860719954515, 't': 0.32250655380192456}",-21.5440673828125,-21.795032501220703,-21.814313888549805,correct,False,True,False,"{'correct': 0.39350854905682375, 'intuitive': 0.3061691340464093, 't': 0.30032231689676686}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>[INST] <<SYS>>
You tend to think deeply, so you say what is most correct.
<</SYS>>

Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected? [/INST]",2,"You tend to think deeply, so you say what is most correct.",slow,shallow/deep,explicit,-7.5106940269470215,-7.812167644500732,-7.775041580200195,correct,False,True,False,"{'correct': 0.39881408384855704, 'intuitive': 0.2950136821631885, 't': 0.30617223398825444}",-22.532081604003906,-23.43650245666504,-23.325124740600586,correct,False,True,False,"{'correct': 0.5384327871227413, 'intuitive': 0.21794480031147007, 't': 0.2436224125657886}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>[INST] <<SYS>>
You tend to think quickly, so you say what comes to mind first.
<</SYS>>

Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected? [/INST]",3,"You tend to think quickly, so you say what comes to mind first.",fast,quick/careful,explicit,-6.5921173095703125,-6.53828763961792,-6.692302227020264,intuitive,False,False,True,"{'correct': 0.33784069692887486, 'intuitive': 0.3565249215108122, 't': 0.3056343815603128}",-19.776351928710938,-19.6148624420166,-20.076906204223633,intuitive,False,False,True,"{'correct': 0.3429745986103427, 'intuitive': 0.40308436182327884, 't': 0.2539410395663786}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>[INST] <<SYS>>
You tend to think carefully, so you say what is most correct.
<</SYS>>

Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected? [/INST]",4,"You tend to think carefully, so you say what is most correct.",slow,quick/careful,explicit,-7.68824577331543,-7.945199489593506,-7.873411178588867,correct,False,True,False,"{'correct': 0.3839698964933803, 'intuitive': 0.29696385726531044, 't': 0.31906624624130925}",-23.06473731994629,-23.83559799194336,-23.6202335357666,correct,False,True,False,"{'correct': 0.49106212775765196, 'intuitive': 0.22717257726485507, 't': 0.2817652949774929}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>[INST] <<SYS>>
Your last meal was one day ago, so you are starving.
<</SYS>>

Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected? [/INST]",5,"Your last meal was one day ago, so you are starving.",fast,hungry/fed,resources,-6.450782775878906,-6.845923900604248,-6.996947765350342,correct,False,True,False,"{'correct': 0.44390157449272183, 'intuitive': 0.29900543009002956, 't': 0.2570929954172486}",-19.35234832763672,-20.537771224975586,-20.990842819213867,correct,False,True,False,"{'correct': 0.6667159110099518, 'intuitive': 0.20375965496346626, 't': 0.1295244340265821}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>[INST] <<SYS>>
Your last meal was one hour ago, so you are well-fed.
<</SYS>>

Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected? [/INST]",6,"Your last meal was one hour ago, so you are well-fed.",slow,hungry/fed,resources,-8.238295555114746,-8.453615188598633,-8.53541374206543,correct,False,True,False,"{'correct': 0.3922737936914952, 'intuitive': 0.3162839594055337, 't': 0.29144224690297105}",-24.714885711669922,-25.3608455657959,-25.60624122619629,correct,False,True,False,"{'correct': 0.5169939359672892, 'intuitive': 0.2709871197204719, 't': 0.21201894431223892}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>[INST] <<SYS>>
You didn't have coffee this morning, so you feel very groggy.
<</SYS>>

Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected? [/INST]",7,"You didn't have coffee this morning, so you feel very groggy.",fast,groggy/alert,resources,-6.873659133911133,-6.972930431365967,-7.100805759429932,correct,False,True,False,"{'correct': 0.37005500708186717, 'intuitive': 0.3350837045432225, 't': 0.2948612883749105}",-20.6209774017334,-20.918790817260742,-21.302417755126953,correct,False,True,False,"{'correct': 0.44477502799079865, 'intuitive': 0.3302187070995283, 't': 0.2250062649096731}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>[INST] <<SYS>>
You just had your morning coffee, so you feel very alert.
<</SYS>>

Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected? [/INST]",8,"You just had your morning coffee, so you feel very alert.",slow,groggy/alert,resources,-7.70474100112915,-7.7146124839782715,-7.857906818389893,correct,False,True,False,"{'correct': 0.3511033132241494, 'intuitive': 0.3476544535752932, 't': 0.3012422332005575}",-23.11422348022461,-23.143836975097656,-23.573720932006836,correct,False,True,False,"{'correct': 0.38425748365909995, 'intuitive': 0.37304511473868474, 't': 0.24269740160221528}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>[INST] <<SYS>>
You slept two hours last night, so you are very tired.
<</SYS>>

Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected? [/INST]",9,"You slept two hours last night, so you are very tired.",fast,tired/rested,resources,-6.622151851654053,-6.723900318145752,-6.77745246887207,correct,False,True,False,"{'correct': 0.3623957202768145, 'intuitive': 0.3273363705196912, 't': 0.31026790920349434}",-19.866455078125,-20.171701431274414,-20.33235740661621,correct,False,True,False,"{'correct': 0.4229205370191176, 'intuitive': 0.31166782353883427, 't': 0.26541163944204815}"
