task,item_id,question,correct,intuitive,prompt,trigger_id,trigger,trigger_type,contrast,contrast_type,mean_logp_correct,mean_logp_intuitive,mean_logp_response,mean_logp_response_isDistractor,mean_logp_response_isSlow,mean_logp_response_isFast,mean_logp_dist,sum_logp_correct,sum_logp_intuitive,sum_logp_response,sum_logp_response_isDistractor,sum_logp_response_isSlow,sum_logp_response_isFast,sum_logp_dist
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>[INST] Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?[/INST]",0,,baseline,,,-5.7284698486328125,-9.502182960510254,correct,False,True,False,"{'correct': 0.9775489967084643, 'intuitive': 0.02245100329153569}",-17.185409545898438,-28.506549835205078,correct,False,True,False,"{'correct': 0.9999878860442636, 'intuitive': 1.2113955736370027e-05}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>[INST] You tend to think shallowly, so you say what comes to mind first.

Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?[/INST]",1,"You tend to think shallowly, so you say what comes to mind first.",fast,shallow/deep,explicit,-4.666893482208252,-7.460224151611328,correct,False,True,False,"{'correct': 0.9423143602204098, 'intuitive': 0.05768563977959021}",-14.000680923461914,-22.380672454833984,correct,False,True,False,"{'correct': 0.9997706407294922, 'intuitive': 0.0002293592705078546}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>[INST] You tend to think deeply, so you say what is most correct.

Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?[/INST]",2,"You tend to think deeply, so you say what is most correct.",slow,shallow/deep,explicit,-6.098156452178955,-9.156852722167969,correct,False,True,False,"{'correct': 0.9551564879663718, 'intuitive': 0.04484351203362821}",-18.294469833374023,-27.470558166503906,correct,False,True,False,"{'correct': 0.9998965261684316, 'intuitive': 0.00010347383156837052}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>[INST] You tend to think quickly, so you say what comes to mind first.

Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?[/INST]",3,"You tend to think quickly, so you say what comes to mind first.",fast,quick/careful,explicit,-5.037399768829346,-7.594362735748291,correct,False,True,False,"{'correct': 0.9280399025450338, 'intuitive': 0.07196009745496619}",-15.112198829650879,-22.78308868408203,correct,False,True,False,"{'correct': 0.9995340144573046, 'intuitive': 0.00046598554269532453}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>[INST] You tend to think carefully, so you say what is most correct.

Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?[/INST]",4,"You tend to think carefully, so you say what is most correct.",slow,quick/careful,explicit,-5.81012487411499,-8.850143432617188,correct,False,True,False,"{'correct': 0.9543496377496279, 'intuitive': 0.045650362250372105}",-17.430374145507812,-26.550430297851562,correct,False,True,False,"{'correct': 0.9998905634462985, 'intuitive': 0.00010943655370154563}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>[INST] Your last meal was one day ago, so you are starving.

Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?[/INST]",5,"Your last meal was one day ago, so you are starving.",fast,hungry/fed,resources,-4.8512797355651855,-7.077602863311768,correct,False,True,False,"{'correct': 0.9025885575803744, 'intuitive': 0.09741144241962552}",-14.553839683532715,-21.23280906677246,correct,False,True,False,"{'correct': 0.9987445053826736, 'intuitive': 0.0012554946173263615}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>[INST] Your last meal was one hour ago, so you are well-fed.

Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?[/INST]",6,"Your last meal was one hour ago, so you are well-fed.",slow,hungry/fed,resources,-4.97608757019043,-7.1867194175720215,correct,False,True,False,"{'correct': 0.9012001997647143, 'intuitive': 0.09879980023528558}",-14.928262710571289,-21.560157775878906,correct,False,True,False,"{'correct': 0.998684070292962, 'intuitive': 0.0013159297070379614}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>[INST] You didn't have coffee this morning, so you feel very groggy.

Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?[/INST]",7,"You didn't have coffee this morning, so you feel very groggy.",fast,groggy/alert,resources,-6.142269134521484,-9.170369148254395,correct,False,True,False,"{'correct': 0.9538275686597798, 'intuitive': 0.04617243134022031}",-18.426807403564453,-27.511106491088867,correct,False,True,False,"{'correct': 0.9998865799658165, 'intuitive': 0.00011342003418334777}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>[INST] You just had your morning coffee, so you feel very alert.

Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?[/INST]",8,"You just had your morning coffee, so you feel very alert.",slow,groggy/alert,resources,-5.702114105224609,-8.578306198120117,correct,False,True,False,"{'correct': 0.9466569001092453, 'intuitive': 0.05334309989075473}",-17.106342315673828,-25.73491859436035,correct,False,True,False,"{'correct': 0.9998211128113624, 'intuitive': 0.0001788871886376145}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>[INST] You slept two hours last night, so you are very tired.

Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?[/INST]",9,"You slept two hours last night, so you are very tired.",fast,tired/rested,resources,-5.6809611320495605,-8.833678245544434,correct,False,True,False,"{'correct': 0.9590156502429288, 'intuitive': 0.04098434975707122}",-17.042882919311523,-26.501035690307617,correct,False,True,False,"{'correct': 0.9999219554560961, 'intuitive': 7.804454390387604e-05}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>[INST] You slept nine hours last night, so you are very well-rested.

Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?[/INST]",10,"You slept nine hours last night, so you are very well-rested.",slow,tired/rested,resources,-5.2123332023620605,-8.492579460144043,correct,False,True,False,"{'correct': 0.9637448890218934, 'intuitive': 0.03625511097810666}",-15.63700008392334,-25.477737426757812,correct,False,True,False,"{'correct': 0.999946764792184, 'intuitive': 5.3235207815917863e-05}"
