task,item_id,question,t,correct,intuitive,prompt,trigger_id,trigger,trigger_type,contrast,contrast_type,mean_logp_correct,mean_logp_intuitive,mean_logp_t,mean_logp_response,mean_logp_response_isDistractor,mean_logp_response_isSlow,mean_logp_response_isFast,mean_logp_dist,sum_logp_correct,sum_logp_intuitive,sum_logp_t,sum_logp_response,sum_logp_response_isDistractor,sum_logp_response_isSlow,sum_logp_response_isFast,sum_logp_dist
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>GPT4 Correct User: Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?<|end_of_turn|>GPT4 Correct Assistant:",0,,baseline,,,-5.6571197509765625,-5.167389869689941,-5.459373474121094,intuitive,False,False,True,"{'correct': 0.25970460840730036, 'intuitive': 0.4238055514274304, 't': 0.3164898401652692}",-22.62847900390625,-20.669559478759766,-21.837493896484375,intuitive,False,False,True,"{'correct': 0.09711350838629751, 'intuitive': 0.6886960375832112, 't': 0.21419045403049133}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>GPT4 Correct User: You tend to think shallowly, so you say what comes to mind first. Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?<|end_of_turn|>GPT4 Correct Assistant:",1,"You tend to think shallowly, so you say what comes to mind first.",fast,shallow/deep,explicit,-5.5495219230651855,-4.813037395477295,-5.3618998527526855,intuitive,False,False,True,"{'correct': 0.23283116111640817, 'intuitive': 0.48628656404275555, 't': 0.28088227484083617}",-22.198087692260742,-19.25214958190918,-21.447599411010742,intuitive,False,False,True,"{'correct': 0.045153782647683965, 'intuitive': 0.8592089722624577, 't': 0.09563724508985844}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>GPT4 Correct User: You tend to think deeply, so you say what is most correct. Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?<|end_of_turn|>GPT4 Correct Assistant:",2,"You tend to think deeply, so you say what is most correct.",slow,shallow/deep,explicit,-6.084936141967773,-5.169734001159668,-6.04550838470459,intuitive,False,False,True,"{'correct': 0.22038590072031122, 'intuitive': 0.5503653028308533, 't': 0.22924879644883542}",-24.339744567871094,-20.678936004638672,-24.18203353881836,intuitive,False,False,True,"{'correct': 0.024352464770579146, 'intuitive': 0.947134992219445, 't': 0.02851254300997587}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>GPT4 Correct User: You tend to think quickly, so you say what comes to mind first. Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?<|end_of_turn|>GPT4 Correct Assistant:",3,"You tend to think quickly, so you say what comes to mind first.",fast,quick/careful,explicit,-5.740128040313721,-4.93172025680542,-5.607254505157471,intuitive,False,False,True,"{'correct': 0.22797544960725102, 'intuitive': 0.511652523449285, 't': 0.2603720269434639}",-22.960512161254883,-19.72688102722168,-22.429018020629883,intuitive,False,False,True,"{'correct': 0.03562130101100324, 'intuitive': 0.9037700295705897, 't': 0.06060866941840699}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>GPT4 Correct User: You tend to think carefully, so you say what is most correct. Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?<|end_of_turn|>GPT4 Correct Assistant:",4,"You tend to think carefully, so you say what is most correct.",slow,quick/careful,explicit,-5.9502387046813965,-5.081183910369873,-5.928664207458496,intuitive,False,False,True,"{'correct': 0.2269392963428291, 'intuitive': 0.5411721087547235, 't': 0.23188859490244743}",-23.800954818725586,-20.324735641479492,-23.714656829833984,intuitive,False,False,True,"{'correct': 0.02904666482696956, 'intuitive': 0.9392886617132242, 't': 0.03166467345980625}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>GPT4 Correct User: Your last meal was one day ago, so you are starving. Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?<|end_of_turn|>GPT4 Correct Assistant:",5,"Your last meal was one day ago, so you are starving.",fast,hungry/fed,resources,-5.836578369140625,-5.303699970245361,-5.648169040679932,intuitive,False,False,True,"{'correct': 0.25567880746168364, 'intuitive': 0.4356331095678846, 't': 0.30868808297043177}",-23.3463134765625,-21.214799880981445,-22.592676162719727,intuitive,False,False,True,"{'correct': 0.08656264370734444, 'intuitive': 0.7295164753275076, 't': 0.183920880965148}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>GPT4 Correct User: Your last meal was one hour ago, so you are well-fed. Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?<|end_of_turn|>GPT4 Correct Assistant:",6,"Your last meal was one hour ago, so you are well-fed.",slow,hungry/fed,resources,-5.6431565284729,-5.250727653503418,-5.29278039932251,intuitive,False,False,True,"{'correct': 0.2563988198773123, 'intuitive': 0.37961705604160006, 't': 0.36398412408108766}",-22.5726261138916,-21.002910614013672,-21.17112159729004,intuitive,False,False,True,"{'correct': 0.10135217411132141, 'intuitive': 0.48702566605405095, 't': 0.4116221598346277}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>GPT4 Correct User: You didn't have coffee this morning, so you feel very groggy. Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?<|end_of_turn|>GPT4 Correct Assistant:",7,"You didn't have coffee this morning, so you feel very groggy.",fast,groggy/alert,resources,-5.901974201202393,-5.277594566345215,-5.6981706619262695,intuitive,False,False,True,"{'correct': 0.24431094003234585, 'intuitive': 0.4561498588061355, 't': 0.29953920116151866}",-23.60789680480957,-21.11037826538086,-22.792682647705078,intuitive,False,False,True,"{'correct': 0.06488467144729272, 'intuitive': 0.7884980615431422, 't': 0.14661726700956498}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>GPT4 Correct User: You just had your morning coffee, so you feel very alert. Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?<|end_of_turn|>GPT4 Correct Assistant:",8,"You just had your morning coffee, so you feel very alert.",slow,groggy/alert,resources,-5.880376815795898,-5.320825099945068,-5.69488525390625,intuitive,False,False,True,"{'correct': 0.25292777051072723, 'intuitive': 0.44259523948565055, 't': 0.30447699000362216}",-23.521507263183594,-21.283300399780273,-22.779541015625,intuitive,False,False,True,"{'correct': 0.08015027502975974, 'intuitive': 0.7515292825410482, 't': 0.16832044242919209}"
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",6 days,5 days,3 days,"<s>GPT4 Correct User: You slept two hours last night, so you are very tired. Your task is to answer the following question. In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?<|end_of_turn|>GPT4 Correct Assistant:",9,"You slept two hours last night, so you are very tired.",fast,tired/rested,resources,-5.690932273864746,-5.2810797691345215,-5.480588436126709,intuitive,False,False,True,"{'correct': 0.26732979633570053, 'intuitive': 0.40275788234553483, 't': 0.3299123213187646}",-22.763729095458984,-21.124319076538086,-21.922353744506836,intuitive,False,False,True,"{'correct': 0.11804028652853434, 'intuitive': 0.6081587782910005, 't': 0.2738009351804652}"
