task,item_id,question,total_cost,more,correct,intuitive,total_cost_money_fmt,more_money_fmt,correct_money_fmt,intuitive_money_fmt,prompt,trigger_id,trigger,trigger_type,contrast,contrast_type,mean_logp_correct,mean_logp_intuitive,mean_logp_total_cost,mean_logp_more,mean_logp_correct_money_fmt,mean_logp_intuitive_money_fmt,mean_logp_total_cost_money_fmt,mean_logp_more_money_fmt,mean_logp_response,mean_logp_response_isDistractor,mean_logp_response_isSlow,mean_logp_response_isFast,mean_logp_dist,sum_logp_correct,sum_logp_intuitive,sum_logp_total_cost,sum_logp_more,sum_logp_correct_money_fmt,sum_logp_intuitive_money_fmt,sum_logp_total_cost_money_fmt,sum_logp_more_money_fmt,sum_logp_response,sum_logp_response_isDistractor,sum_logp_response_isSlow,sum_logp_response_isFast,sum_logp_dist
crt1,1,A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,140.0,100,$20.0,$40.0,$140.00,$100.00,$20.00,$40.00,<s>GPT4 Correct User: Your task is to answer the following question. A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?<|end_of_turn|>GPT4 Correct Assistant:,0,,baseline,,,-6.07720422744751,-5.958399295806885,-5.5964460372924805,-6.35576868057251,-5.209202766418457,-5.10732364654541,-4.765508651733398,-5.149173736572266,total_cost_money_fmt,True,False,False,"{'correct_money_fmt': 0.21152512873201482, 'intuitive_money_fmt': 0.23421111823203491, 'total_cost_money_fmt': 0.32965212048908205, 'more_money_fmt': 0.22461163254686814}",-36.463226318359375,-35.750396728515625,-39.17512130737305,-31.77884292602539,-36.464420318603516,-35.75126647949219,-38.12406921386719,-41.193389892578125,intuitive_money_fmt,False,False,True,"{'correct_money_fmt': 0.3086936541042372, 'intuitive_money_fmt': 0.629863553114667, 'total_cost_money_fmt': 0.05871530815935329, 'more_money_fmt': 0.002727484621742485}"
crt1,1,A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,140.0,100,$20.0,$40.0,$140.00,$100.00,$20.00,$40.00,"<s>GPT4 Correct User: You tend to think shallowly, so you say what comes to mind first. Your task is to answer the following question. A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?<|end_of_turn|>GPT4 Correct Assistant:",1,"You tend to think shallowly, so you say what comes to mind first.",fast,shallow/deep,explicit,-6.111093997955322,-6.031929016113281,-5.540018558502197,-6.115861415863037,-5.238170146942139,-5.170288562774658,-4.850010395050049,-4.937029838562012,total_cost_money_fmt,True,False,False,"{'correct_money_fmt': 0.2042524214097732, 'intuitive_money_fmt': 0.21859881895598346, 'total_cost_money_fmt': 0.3011222536785384, 'more_money_fmt': 0.27602650595570494}",-36.66656494140625,-36.19157409667969,-38.780128479003906,-30.579307556152344,-36.66719055175781,-36.192020416259766,-38.80008316040039,-39.496238708496094,intuitive_money_fmt,False,False,True,"{'correct_money_fmt': 0.35895675624164075, 'intuitive_money_fmt': 0.5773057721701773, 'total_cost_money_fmt': 0.0425342365040707, 'more_money_fmt': 0.02120323508411105}"
crt1,1,A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,140.0,100,$20.0,$40.0,$140.00,$100.00,$20.00,$40.00,"<s>GPT4 Correct User: You tend to think deeply, so you say what is most correct. Your task is to answer the following question. A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?<|end_of_turn|>GPT4 Correct Assistant:",2,"You tend to think deeply, so you say what is most correct.",slow,shallow/deep,explicit,-6.154974460601807,-5.98932409286499,-5.768807411193848,-6.476034641265869,-5.275825500488281,-5.133799076080322,-5.006575107574463,-5.1419677734375,total_cost_money_fmt,True,False,False,"{'correct_money_fmt': 0.2171637487240549, 'intuitive_money_fmt': 0.25030447974840364, 'total_cost_money_fmt': 0.2842636249035504, 'more_money_fmt': 0.24826814662399105}",-36.929847717285156,-35.935943603515625,-40.38165283203125,-32.38017272949219,-36.93077850341797,-35.93659210205078,-40.0526008605957,-41.1357421875,intuitive_money_fmt,False,False,True,"{'correct_money_fmt': 0.26584977936579374, 'intuitive_money_fmt': 0.7184655888975436, 'total_cost_money_fmt': 0.011717799995716297, 'more_money_fmt': 0.003966831740946207}"
crt1,1,A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,140.0,100,$20.0,$40.0,$140.00,$100.00,$20.00,$40.00,"<s>GPT4 Correct User: You tend to think quickly, so you say what comes to mind first. Your task is to answer the following question. A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?<|end_of_turn|>GPT4 Correct Assistant:",3,"You tend to think quickly, so you say what comes to mind first.",fast,quick/careful,explicit,-6.135653018951416,-6.078399181365967,-5.6568169593811035,-6.300233364105225,-5.259242534637451,-5.210140228271484,-4.916950702667236,-5.030515670776367,total_cost_money_fmt,True,False,False,"{'correct_money_fmt': 0.21206669469499315, 'intuitive_money_fmt': 0.22273954499063695, 'total_cost_money_fmt': 0.2986262091764898, 'more_money_fmt': 0.26656755113788005}",-36.81391906738281,-36.470394134521484,-39.59771728515625,-31.50116729736328,-36.814697265625,-36.47098159790039,-39.33560562133789,-40.24412536621094,intuitive_money_fmt,False,False,True,"{'correct_money_fmt': 0.39635831660562165, 'intuitive_money_fmt': 0.5589356273752767, 'total_cost_money_fmt': 0.03186187921722445, 'more_money_fmt': 0.012844176801877232}"
crt1,1,A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,140.0,100,$20.0,$40.0,$140.00,$100.00,$20.00,$40.00,"<s>GPT4 Correct User: You tend to think carefully, so you say what is most correct. Your task is to answer the following question. A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?<|end_of_turn|>GPT4 Correct Assistant:",4,"You tend to think carefully, so you say what is most correct.",slow,quick/careful,explicit,-6.182484149932861,-6.021352291107178,-5.768256664276123,-6.426939487457275,-5.299421787261963,-5.16126012802124,-5.0277838706970215,-5.184338569641113,total_cost_money_fmt,True,False,False,"{'correct_money_fmt': 0.21823388790375844, 'intuitive_money_fmt': 0.25056767086025644, 'total_cost_money_fmt': 0.2863472641340807, 'more_money_fmt': 0.2448511771019044}",-37.094905853271484,-36.12811279296875,-40.3777961730957,-32.13469696044922,-37.095951080322266,-36.128822326660156,-40.22227096557617,-41.474708557128906,intuitive_money_fmt,False,False,True,"{'correct_money_fmt': 0.271237852974398, 'intuitive_money_fmt': 0.7134589313627915, 'total_cost_money_fmt': 0.011901640371199389, 'more_money_fmt': 0.003401575291610938}"
crt1,1,A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,140.0,100,$20.0,$40.0,$140.00,$100.00,$20.00,$40.00,"<s>GPT4 Correct User: Your last meal was one day ago, so you are starving. Your task is to answer the following question. A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?<|end_of_turn|>GPT4 Correct Assistant:",5,"Your last meal was one day ago, so you are starving.",fast,hungry/fed,resources,-6.144683361053467,-5.982428073883057,-5.453784465789795,-6.137205600738525,-5.267017841339111,-5.1279168128967285,-4.787771224975586,-5.143725395202637,total_cost_money_fmt,True,False,False,"{'correct_money_fmt': 0.2042770411992675, 'intuitive_money_fmt': 0.23476338770085073, 'total_cost_money_fmt': 0.32987827869982866, 'more_money_fmt': 0.23108129240005315}",-36.868099212646484,-35.894569396972656,-38.176490783691406,-30.68602752685547,-36.86912536621094,-35.895416259765625,-38.30216979980469,-41.149803161621094,intuitive_money_fmt,False,False,True,"{'correct_money_fmt': 0.2563996193022994, 'intuitive_money_fmt': 0.6788813341744988, 'total_cost_money_fmt': 0.061172198086595686, 'more_money_fmt': 0.003546848436605941}"
crt1,1,A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,140.0,100,$20.0,$40.0,$140.00,$100.00,$20.00,$40.00,"<s>GPT4 Correct User: Your last meal was one hour ago, so you are well-fed. Your task is to answer the following question. A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?<|end_of_turn|>GPT4 Correct Assistant:",6,"Your last meal was one hour ago, so you are well-fed.",slow,hungry/fed,resources,-6.0050530433654785,-5.820550441741943,-5.26570463180542,-5.853456974029541,-5.147311687469482,-4.989136695861816,-4.689553260803223,-5.064327239990234,total_cost_money_fmt,True,False,False,"{'correct_money_fmt': 0.2066789026969807, 'intuitive_money_fmt': 0.24209770535810307, 'total_cost_money_fmt': 0.32666161574861663, 'more_money_fmt': 0.22456177619629958}",-36.03031921386719,-34.923301696777344,-36.85993194580078,-29.267284393310547,-36.03118133544922,-34.92395782470703,-37.51642608642578,-40.514617919921875,intuitive_money_fmt,False,False,True,"{'correct_money_fmt': 0.23453881115172975, 'intuitive_money_fmt': 0.7097015935483346, 'total_cost_money_fmt': 0.053110589245886644, 'more_money_fmt': 0.0026490060540491803}"
crt1,1,A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,140.0,100,$20.0,$40.0,$140.00,$100.00,$20.00,$40.00,"<s>GPT4 Correct User: You didn't have coffee this morning, so you feel very groggy. Your task is to answer the following question. A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?<|end_of_turn|>GPT4 Correct Assistant:",7,"You didn't have coffee this morning, so you feel very groggy.",fast,groggy/alert,resources,-6.042050838470459,-5.896608829498291,-5.451955318450928,-6.3896636962890625,-5.17907190322876,-5.05438232421875,-4.752249717712402,-5.164581298828125,total_cost_money_fmt,True,False,False,"{'correct_money_fmt': 0.21368557765991253, 'intuitive_money_fmt': 0.24206232887633788, 'total_cost_money_fmt': 0.3274475392804588, 'more_money_fmt': 0.2168045541832908}",-36.25230407714844,-35.37965393066406,-38.16368865966797,-31.948318481445312,-36.253501892089844,-35.38067626953125,-38.01799774169922,-41.316650390625,intuitive_money_fmt,False,False,True,"{'correct_money_fmt': 0.2800129324401645, 'intuitive_money_fmt': 0.6702571280337, 'total_cost_money_fmt': 0.04795868637537825, 'more_money_fmt': 0.001771253150757286}"
crt1,1,A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,140.0,100,$20.0,$40.0,$140.00,$100.00,$20.00,$40.00,"<s>GPT4 Correct User: You just had your morning coffee, so you feel very alert. Your task is to answer the following question. A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?<|end_of_turn|>GPT4 Correct Assistant:",8,"You just had your morning coffee, so you feel very alert.",slow,groggy/alert,resources,-6.028863430023193,-5.829936504364014,-5.519510746002197,-6.375401020050049,-5.167735576629639,-4.9971923828125,-4.800439834594727,-5.144732475280762,total_cost_money_fmt,True,False,False,"{'correct_money_fmt': 0.2149131018808532, 'intuitive_money_fmt': 0.25487595171781274, 'total_cost_money_fmt': 0.31029687830716435, 'more_money_fmt': 0.21991406809416975}",-36.173179626464844,-34.979618072509766,-38.636573791503906,-31.877004623413086,-36.17414855957031,-34.9803466796875,-38.40351867675781,-41.157859802246094,intuitive_money_fmt,False,False,True,"{'correct_money_fmt': 0.22654947518108326, 'intuitive_money_fmt': 0.7475231199035233, 'total_cost_money_fmt': 0.024375858514053522, 'more_money_fmt': 0.001551546401339907}"
crt1,1,A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,140.0,100,$20.0,$40.0,$140.00,$100.00,$20.00,$40.00,"<s>GPT4 Correct User: You slept two hours last night, so you are very tired. Your task is to answer the following question. A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?<|end_of_turn|>GPT4 Correct Assistant:",9,"You slept two hours last night, so you are very tired.",fast,tired/rested,resources,-5.9261474609375,-5.86456298828125,-5.361819744110107,-6.199986457824707,-5.079745769500732,-5.026926517486572,-4.72461462020874,-5.103014945983887,total_cost_money_fmt,True,False,False,"{'correct_money_fmt': 0.22433565107480846, 'intuitive_money_fmt': 0.2365034095720092, 'total_cost_money_fmt': 0.31998512869983553, 'more_money_fmt': 0.21917581065334693}",-35.556884765625,-35.1873779296875,-37.532737731933594,-30.99993133544922,-35.55821990966797,-35.18848419189453,-37.79691696166992,-40.824119567871094,intuitive_money_fmt,False,False,True,"{'correct_money_fmt': 0.39076022382673664, 'intuitive_money_fmt': 0.5655676128467582, 'total_cost_money_fmt': 0.04165398663591134, 'more_money_fmt': 0.00201817669059394}"
