task,item_id,question,total_cost,more,correct,intuitive,total_cost_money_fmt,more_money_fmt,correct_money_fmt,intuitive_money_fmt,prompt,trigger_id,trigger,trigger_type,contrast,contrast_type,mean_logp_correct,mean_logp_intuitive,mean_logp_total_cost,mean_logp_more,mean_logp_correct_money_fmt,mean_logp_intuitive_money_fmt,mean_logp_total_cost_money_fmt,mean_logp_more_money_fmt,mean_logp_response,mean_logp_response_isDistractor,mean_logp_response_isSlow,mean_logp_response_isFast,mean_logp_dist,sum_logp_correct,sum_logp_intuitive,sum_logp_total_cost,sum_logp_more,sum_logp_correct_money_fmt,sum_logp_intuitive_money_fmt,sum_logp_total_cost_money_fmt,sum_logp_more_money_fmt,sum_logp_response,sum_logp_response_isDistractor,sum_logp_response_isSlow,sum_logp_response_isFast,sum_logp_dist
crt1,1,A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,140.0,100,$20.0,$40.0,$140.00,$100.00,$20.00,$40.00,<s>[INST] Your task is to answer the following question. A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost? [/INST],0,,baseline,,,-8.541328430175781,-9.236172676086426,-6.5415825843811035,-6.188972473144531,-7.117865085601807,-7.696866512298584,-6.104358673095703,-6.251358509063721,total_cost_money_fmt,True,False,False,"{'correct_money_fmt': 0.14938104458270646, 'intuitive_money_fmt': 0.08372176344793783, 'total_cost_money_fmt': 0.41158139455245846, 'more_money_fmt': 0.3553157974168972}",-42.706642150878906,-46.18086242675781,-39.24949645996094,-24.755889892578125,-42.707191467285156,-46.18119812011719,-42.73051071166992,-43.7595100402832,correct_money_fmt,False,True,False,"{'correct_money_fmt': 0.4242554501686078, 'intuitive_money_fmt': 0.013148781566571278, 'total_cost_money_fmt': 0.41447659453735197, 'more_money_fmt': 0.14811917372746902}"
crt1,1,A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,140.0,100,$20.0,$40.0,$140.00,$100.00,$20.00,$40.00,"<s>[INST] You tend to think shallowly, so you say what comes to mind first. Your task is to answer the following question. A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost? [/INST]",1,"You tend to think shallowly, so you say what comes to mind first.",fast,shallow/deep,explicit,-7.267091274261475,-7.789422512054443,-6.161806583404541,-4.517211437225342,-6.055912017822266,-6.491189479827881,-5.5173492431640625,-5.32012939453125,more_money_fmt,True,False,False,"{'correct_money_fmt': 0.1835622830353419, 'intuitive_money_fmt': 0.11878041839125196, 'total_cost_money_fmt': 0.3145417449430539, 'more_money_fmt': 0.38311555363035227}",-36.33545684814453,-38.947113037109375,-36.97084045410156,-18.068845748901367,-36.335472106933594,-38.94713592529297,-38.62144470214844,-37.24090576171875,correct_money_fmt,False,True,False,"{'correct_money_fmt': 0.6331302173400517, 'intuitive_money_fmt': 0.04647954378626003, 'total_cost_money_fmt': 0.06437359415459552, 'more_money_fmt': 0.2560166447190927}"
crt1,1,A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,140.0,100,$20.0,$40.0,$140.00,$100.00,$20.00,$40.00,"<s>[INST] You tend to think deeply, so you say what is most correct. Your task is to answer the following question. A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost? [/INST]",2,"You tend to think deeply, so you say what is most correct.",slow,shallow/deep,explicit,-9.0221529006958,-9.680737495422363,-6.708765029907227,-5.812925338745117,-7.518573760986328,-8.067456245422363,-6.155503273010254,-6.144291400909424,more_money_fmt,True,False,False,"{'correct_money_fmt': 0.10595454764287922, 'intuitive_money_fmt': 0.06119880859304734, 'total_cost_money_fmt': 0.4140889038238246, 'more_money_fmt': 0.418757739940249}",-45.11076354980469,-48.4036865234375,-40.25259017944336,-23.25170135498047,-45.11144256591797,-48.40473937988281,-43.088523864746094,-43.010040283203125,more_money_fmt,True,False,False,"{'correct_money_fmt': 0.059612093443246174, 'intuitive_money_fmt': 0.0022134705085285183, 'total_cost_money_fmt': 0.45068883859087255, 'more_money_fmt': 0.48748559745735276}"
crt1,1,A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,140.0,100,$20.0,$40.0,$140.00,$100.00,$20.00,$40.00,"<s>[INST] You tend to think quickly, so you say what comes to mind first. Your task is to answer the following question. A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost? [/INST]",3,"You tend to think quickly, so you say what comes to mind first.",fast,quick/careful,explicit,-7.540313720703125,-7.798007011413574,-7.161378383636475,-5.279147148132324,-6.283606052398682,-6.498387813568115,-5.3222198486328125,-5.036913871765137,more_money_fmt,True,False,False,"{'correct_money_fmt': 0.12656860566119701, 'intuitive_money_fmt': 0.10210510635886093, 'total_cost_money_fmt': 0.3310173206197763, 'more_money_fmt': 0.4403089673601657}",-37.701568603515625,-38.99003601074219,-42.96826934814453,-21.116588592529297,-37.701637268066406,-38.990325927734375,-37.25553894042969,-35.25839614868164,more_money_fmt,True,False,False,"{'correct_money_fmt': 0.06969552438852321, 'intuitive_money_fmt': 0.0192103163289311, 'total_cost_money_fmt': 0.10887870134100282, 'more_money_fmt': 0.8022154579415428}"
crt1,1,A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,140.0,100,$20.0,$40.0,$140.00,$100.00,$20.00,$40.00,"<s>[INST] You tend to think carefully, so you say what is most correct. Your task is to answer the following question. A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost? [/INST]",4,"You tend to think carefully, so you say what is most correct.",slow,quick/careful,explicit,-8.910930633544922,-9.688143730163574,-6.684555530548096,-5.879998683929443,-7.425865650177002,-8.073604583740234,-6.123185634613037,-6.1244683265686035,total_cost_money_fmt,True,False,False,"{'correct_money_fmt': 0.11265322654106419, 'intuitive_money_fmt': 0.05894326523505001, 'total_cost_money_fmt': 0.414467400704511, 'more_money_fmt': 0.41393610751937476}",-44.55465316772461,-48.44071960449219,-40.10733413696289,-23.519994735717773,-44.55519485473633,-48.441627502441406,-42.862300872802734,-42.87127685546875,total_cost_money_fmt,True,False,False,"{'correct_money_fmt': 0.08444287638586422, 'intuitive_money_fmt': 0.0017326337314133354, 'total_cost_money_fmt': 0.4589628493688183, 'more_money_fmt': 0.45486164051390415}"
crt1,1,A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,140.0,100,$20.0,$40.0,$140.00,$100.00,$20.00,$40.00,"<s>[INST] Your last meal was one day ago, so you are starving. Your task is to answer the following question. A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost? [/INST]",5,"Your last meal was one day ago, so you are starving.",fast,hungry/fed,resources,-7.806632995605469,-7.924882411956787,-5.7889723777771,-5.351352214813232,-6.505575656890869,-6.604114532470703,-5.075409412384033,-5.009843349456787,more_money_fmt,True,False,False,"{'correct_money_fmt': 0.09480328445196945, 'intuitive_money_fmt': 0.08590698826716259, 'total_cost_money_fmt': 0.39622027209993477, 'more_money_fmt': 0.4230694551809332}",-39.033164978027344,-39.624412536621094,-34.73383331298828,-21.40540885925293,-39.03345489501953,-39.62468719482422,-35.52786636352539,-35.068904876708984,more_money_fmt,True,False,False,"{'correct_money_fmt': 0.011421883690659902, 'intuitive_money_fmt': 0.00632366431907794, 'total_cost_money_fmt': 0.380360569053706, 'more_money_fmt': 0.6018938829365562}"
crt1,1,A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,140.0,100,$20.0,$40.0,$140.00,$100.00,$20.00,$40.00,"<s>[INST] Your last meal was one hour ago, so you are well-fed. Your task is to answer the following question. A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost? [/INST]",6,"Your last meal was one hour ago, so you are well-fed.",slow,hungry/fed,resources,-8.717485427856445,-8.820425987243652,-7.346746921539307,-5.721631050109863,-7.264604091644287,-7.350437164306641,-5.813689231872559,-5.668908596038818,more_money_fmt,True,False,False,"{'correct_money_fmt': 0.08995619505205585, 'intuitive_money_fmt': 0.08255706552328142, 'total_cost_money_fmt': 0.38384456422226876, 'more_money_fmt': 0.44364217520239396}",-43.587425231933594,-44.10213088989258,-44.080482482910156,-22.886524200439453,-43.587623596191406,-44.102622985839844,-40.695823669433594,-39.6823616027832,more_money_fmt,True,False,False,"{'correct_money_fmt': 0.014432864353294748, 'intuitive_money_fmt': 0.008623650296594803, 'total_cost_money_fmt': 0.26016284964368946, 'more_money_fmt': 0.7167806357064209}"
crt1,1,A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,140.0,100,$20.0,$40.0,$140.00,$100.00,$20.00,$40.00,"<s>[INST] You didn't have coffee this morning, so you feel very groggy. Your task is to answer the following question. A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost? [/INST]",7,"You didn't have coffee this morning, so you feel very groggy.",fast,groggy/alert,resources,-8.276026725769043,-8.494573593139648,-5.644349575042725,-5.05282735824585,-6.896799564361572,-7.0789337158203125,-5.57904052734375,-5.5537543296813965,more_money_fmt,True,False,False,"{'correct_money_fmt': 0.10639177828429726, 'intuitive_money_fmt': 0.08867643211630619, 'total_cost_money_fmt': 0.39737774982252333, 'more_money_fmt': 0.40755403977687327}",-41.38013458251953,-42.472869873046875,-33.86609649658203,-20.2113094329834,-41.38079833984375,-42.473602294921875,-39.05328369140625,-38.87628173828125,more_money_fmt,True,False,False,"{'correct_money_fmt': 0.04197210835128546, 'intuitive_money_fmt': 0.014072201910620178, 'total_cost_money_fmt': 0.4303160588369542, 'more_money_fmt': 0.5136396309011402}"
crt1,1,A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,140.0,100,$20.0,$40.0,$140.00,$100.00,$20.00,$40.00,"<s>[INST] You just had your morning coffee, so you feel very alert. Your task is to answer the following question. A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost? [/INST]",8,"You just had your morning coffee, so you feel very alert.",slow,groggy/alert,resources,-9.115372657775879,-9.444967269897461,-6.941474914550781,-6.175944805145264,-7.596197128295898,-7.870885372161865,-5.96565580368042,-6.165672779083252,total_cost_money_fmt,True,False,False,"{'correct_money_fmt': 0.09051954297715277, 'intuitive_money_fmt': 0.0687775599367407, 'total_cost_money_fmt': 0.4622505668299693, 'more_money_fmt': 0.37845233025613734}",-45.57686233520508,-47.22483825683594,-41.64884948730469,-24.703779220581055,-45.57718276977539,-47.225311279296875,-41.75959014892578,-43.15970993041992,total_cost_money_fmt,True,False,False,"{'correct_money_fmt': 0.017269833292839588, 'intuitive_money_fmt': 0.0033228828338390188, 'total_cost_money_fmt': 0.7856833588840498, 'more_money_fmt': 0.19372392498927152}"
crt1,1,A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,140.0,100,$20.0,$40.0,$140.00,$100.00,$20.00,$40.00,"<s>[INST] You slept two hours last night, so you are very tired. Your task is to answer the following question. A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost? [/INST]",9,"You slept two hours last night, so you are very tired.",fast,tired/rested,resources,-7.903249263763428,-8.527887344360352,-6.115347385406494,-5.006634712219238,-6.586151599884033,-7.106717586517334,-5.546078205108643,-5.487030506134033,more_money_fmt,True,False,False,"{'correct_money_fmt': 0.13467767460697583, 'intuitive_money_fmt': 0.08002333994613757, 'total_cost_money_fmt': 0.3810603352627544, 'more_money_fmt': 0.40423865018413224}",-39.5162467956543,-42.639434814453125,-36.69208526611328,-20.026538848876953,-39.516910552978516,-42.64030456542969,-38.822547912597656,-38.40921401977539,more_money_fmt,True,False,False,"{'correct_money_fmt': 0.16464111868773199, 'intuitive_money_fmt': 0.007245452671521168, 'total_cost_money_fmt': 0.3296827100346449, 'more_money_fmt': 0.498430718606102}"
crt1,1,A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,140.0,100,$20.0,$40.0,$140.00,$100.00,$20.00,$40.00,"<s>[INST] You slept nine hours last night, so you are very well-rested. Your task is to answer the following question. A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost? [/INST]",10,"You slept nine hours last night, so you are very well-rested.",slow,tired/rested,resources,-9.338167190551758,-9.265263557434082,-7.767988681793213,-6.307592391967773,-7.781876087188721,-7.721189975738525,-6.190297603607178,-6.194690227508545,total_cost_money_fmt,True,False,False,"{'correct_money_fmt': 0.08428839564464954, 'intuitive_money_fmt': 0.08956192733323849, 'total_cost_money_fmt': 0.4139820782566281, 'more_money_fmt': 0.4121675987654838}",-46.69083786010742,-46.326316833496094,-46.607933044433594,-25.230369567871094,-46.69125747680664,-46.32714080810547,-43.33208465576172,-43.362831115722656,total_cost_money_fmt,True,False,False,"{'correct_money_fmt': 0.016920748499950726, 'intuitive_money_fmt': 0.024353053923968016, 'total_cost_money_fmt': 0.48673187745595564, 'more_money_fmt': 0.4719943201201256}"
crt1,1,A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,140.0,100,$20.0,$40.0,$140.00,$100.00,$20.00,$40.00,"<s>[INST] You are in a noisy environment, so you feel very distracted. Your task is to answer the following question. A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost? [/INST]",11,"You are in a noisy environment, so you feel very distracted.",fast,distracted/focused,physical_context,-7.260002136230469,-7.7152419090271,-5.631901264190674,-4.741016387939453,-6.050710201263428,-6.429710388183594,-5.091590881347656,-4.798353672027588,more_money_fmt,True,False,False,"{'correct_money_fmt': 0.1283281808931617, 'intuitive_money_fmt': 0.0878464767915788, 'total_cost_money_fmt': 0.3348592237340086, 'more_money_fmt': 0.44896611858125085}",-36.300010681152344,-38.576210021972656,-33.79140853881836,-18.964065551757812,-36.30426025390625,-38.57826232910156,-35.641136169433594,-33.58847427368164,more_money_fmt,True,False,False,"{'correct_money_fmt': 0.055065374460387805, 'intuitive_money_fmt': 0.00566620187934661, 'total_cost_money_fmt': 0.10687342501006103, 'more_money_fmt': 0.8323949986502045}"
crt1,1,A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,140.0,100,$20.0,$40.0,$140.00,$100.00,$20.00,$40.00,"<s>[INST] You are in a quiet environment, so you feel very focused. Your task is to answer the following question. A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost? [/INST]",12,"You are in a quiet environment, so you feel very focused.",slow,distracted/focused,physical_context,-8.987348556518555,-9.353757858276367,-7.335972309112549,-6.340315341949463,-7.489536762237549,-7.794932842254639,-5.838467121124268,-5.804252624511719,more_money_fmt,True,False,False,"{'correct_money_fmt': 0.08101517045891059, 'intuitive_money_fmt': 0.05969452733314033, 'total_cost_money_fmt': 0.4222958217530051, 'more_money_fmt': 0.43699448045494393}",-44.93674087524414,-46.7687873840332,-44.01583480834961,-25.36126136779785,-44.93722152709961,-46.769596099853516,-40.86927032470703,-40.62976837158203,more_money_fmt,True,False,False,"{'correct_money_fmt': 0.007471145188070934, 'intuitive_money_fmt': 0.0011956305697018036, 'total_cost_money_fmt': 0.4365921633771783, 'more_money_fmt': 0.5547410608650488}"
crt1,1,A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,140.0,100,$20.0,$40.0,$140.00,$100.00,$20.00,$40.00,"<s>[INST] You are in a dark room, so you can't see very well. Your task is to answer the following question. A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost? [/INST]",13,"You are in a dark room, so you can't see very well.",fast,dark/lit,physical_context,-8.263320922851562,-8.9252290725708,-5.764947414398193,-5.075104713439941,-6.88617467880249,-7.437889099121094,-5.708542823791504,-5.565338611602783,more_money_fmt,True,False,False,"{'correct_money_fmt': 0.11669713791148031, 'intuitive_money_fmt': 0.06721306131794277, 'total_cost_money_fmt': 0.37887785424459863, 'more_money_fmt': 0.43721194652597845}",-41.31660461425781,-44.62614440917969,-34.589683532714844,-20.300418853759766,-41.317047119140625,-44.62733459472656,-39.959800720214844,-38.95737075805664,more_money_fmt,True,False,False,"{'correct_money_fmt': 0.06447657145758882, 'intuitive_money_fmt': 0.0023537609403159717, 'total_cost_money_fmt': 0.250522396453078, 'more_money_fmt': 0.6826472711490172}"
