task,item_id,question,correct,intuitive,prompt,trigger_id,trigger,trigger_type,contrast,contrast_type,mean_logp_correct,mean_logp_intuitive,mean_logp_response,mean_logp_response_isDistractor,mean_logp_response_isSlow,mean_logp_response_isFast,mean_logp_dist,sum_logp_correct,sum_logp_intuitive,sum_logp_response,sum_logp_response_isDistractor,sum_logp_response_isSlow,sum_logp_response_isFast,sum_logp_dist
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>[INST] Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets? [/INST]",0,,baseline,,,-8.815668106079102,-11.102896690368652,correct,False,True,False,"{'correct': 0.9078137780349581, 'intuitive': 0.09218622196504195}",-26.447004318237305,-33.30868911743164,correct,False,True,False,"{'correct': 0.998953947161219, 'intuitive': 0.0010460528387810262}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>[INST] You tend to think shallowly, so you say what comes to mind first. Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets? [/INST]",1,"You tend to think shallowly, so you say what comes to mind first.",fast,shallow/deep,explicit,-5.9573588371276855,-7.30842399597168,correct,False,True,False,"{'correct': 0.7943037140777798, 'intuitive': 0.2056962859222202}",-17.8720760345459,-21.92527198791504,correct,False,True,False,"{'correct': 0.982929674208988, 'intuitive': 0.017070325791011986}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>[INST] You tend to think deeply, so you say what is most correct. Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets? [/INST]",2,"You tend to think deeply, so you say what is most correct.",slow,shallow/deep,explicit,-8.873291969299316,-11.183135986328125,correct,False,True,False,"{'correct': 0.9096890413522292, 'intuitive': 0.09031095864777082}",-26.619876861572266,-33.549407958984375,correct,False,True,False,"{'correct': 0.9990224968842049, 'intuitive': 0.0009775031157951218}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>[INST] You tend to think quickly, so you say what comes to mind first. Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets? [/INST]",3,"You tend to think quickly, so you say what comes to mind first.",fast,quick/careful,explicit,-7.025999546051025,-9.258244514465332,correct,False,True,False,"{'correct': 0.9031079804839132, 'intuitive': 0.0968920195160868}",-21.077999114990234,-27.774734497070312,correct,False,True,False,"{'correct': 0.9987665862619344, 'intuitive': 0.0012334137380655547}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>[INST] You tend to think carefully, so you say what is most correct. Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets? [/INST]",4,"You tend to think carefully, so you say what is most correct.",slow,quick/careful,explicit,-8.792418479919434,-11.194722175598145,correct,False,True,False,"{'correct': 0.9170028032178436, 'intuitive': 0.08299719678215642}",-26.377254486083984,-33.58416748046875,correct,False,True,False,"{'correct': 0.9992591068663136, 'intuitive': 0.0007408931336864282}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>[INST] Your last meal was one day ago, so you are starving. Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets? [/INST]",5,"Your last meal was one day ago, so you are starving.",fast,hungry/fed,resources,-7.303058624267578,-8.485481262207031,correct,False,True,False,"{'correct': 0.7653831208815547, 'intuitive': 0.23461687911844534}",-21.909175872802734,-25.456443786621094,correct,False,True,False,"{'correct': 0.972003173742513, 'intuitive': 0.0279968262574869}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>[INST] Your last meal was one hour ago, so you are well-fed. Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets? [/INST]",6,"Your last meal was one hour ago, so you are well-fed.",slow,hungry/fed,resources,-8.457834243774414,-10.098682403564453,correct,False,True,False,"{'correct': 0.8376503136255194, 'intuitive': 0.16234968637448066}",-25.373502731323242,-30.29604721069336,correct,False,True,False,"{'correct': 0.9927720417747598, 'intuitive': 0.0072279582252401725}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>[INST] You didn't have coffee this morning, so you feel very groggy. Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets? [/INST]",7,"You didn't have coffee this morning, so you feel very groggy.",fast,groggy/alert,resources,-7.221391677856445,-8.822993278503418,correct,False,True,False,"{'correct': 0.8322421118965481, 'intuitive': 0.16775788810345188}",-21.664175033569336,-26.468978881835938,correct,False,True,False,"{'correct': 0.9918762287836925, 'intuitive': 0.0081237712163075}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>[INST] You just had your morning coffee, so you feel very alert. Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets? [/INST]",8,"You just had your morning coffee, so you feel very alert.",slow,groggy/alert,resources,-8.953804016113281,-10.699858665466309,correct,False,True,False,"{'correct': 0.851454486645204, 'intuitive': 0.14854551335479613}",-26.861412048339844,-32.09957504272461,correct,False,True,False,"{'correct': 0.9947180448086542, 'intuitive': 0.00528195519134578}"
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"<s>[INST] You slept two hours last night, so you are very tired. Your task is to answer the following question. How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets? [/INST]",9,"You slept two hours last night, so you are very tired.",fast,tired/rested,resources,-7.41740083694458,-7.629892349243164,correct,False,True,False,"{'correct': 0.5529238899820209, 'intuitive': 0.44707611001797903}",-22.2522029876709,-22.889677047729492,correct,False,True,False,"{'correct': 0.6541822454479242, 'intuitive': 0.3458177545520758}"
